Event Type,Repository,Details
CreateEvent,yuktaa-gaikwad/GitHub-User-Activity,Performed action
CreateEvent,yuktaa-gaikwad/GitHub-User-Activity,Performed action
CreateEvent,yuktaa-gaikwad/portfolio,Performed action
PushEvent,yuktaa-gaikwad/face_recognition,Pushed 1 commits
PushEvent,yuktaa-gaikwad/face_recognition,Pushed 1 commits
PushEvent,yuktaa-gaikwad/email-spam-classifier,Pushed 1 commits
PushEvent,yuktaa-gaikwad/face_recognition,Pushed 1 commits
CreateEvent,yuktaa-gaikwad/face_recognition,Performed action
CreateEvent,yuktaa-gaikwad/face_recognition,Performed action
PushEvent,yuktaa-gaikwad/email-spam-classifier,Pushed 1 commits
PushEvent,yuktaa-gaikwad/email-spam-classifier,Pushed 1 commits
CreateEvent,yuktaa-gaikwad/email-spam-classifier,Performed action
CreateEvent,yuktaa-gaikwad/email-spam-classifier,Performed action
